system_slug,system_name,system_description,source_short_title,source_full_title,source_edition,source_year,source_citation,source_url,subject_system_slug,object_system_slug,subject_name,subject_kind,subject_description,object_name,object_kind,object_description,subject_aliases,object_aliases,relation_slug,relation_label,source_locator,note,confidence,variant_group,is_editorial
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Almond flower,plant,,Keter|כתר|כֶּתֶר,,plant_of,Plant,Kether Correspondences,,0.9,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",The Point,symbol,,Keter|כתר|כֶּתֶר,,symbol_of,Symbol,Kether Correspondences,Geometric symbol in the source page.,0.9,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Aces,tarot,,Keter|כתר|כֶּתֶר,,tarot_attribution,Tarot,Tarot placement chart,Minor-arcana / court-card placement chart.,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Aither,deity,,Keter|כתר|כֶּתֶר,,greek_deity_of,Greek Deity,Pantheon chart,,0.85,pantheons,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Kether,sephirah,"Kether, sephirah 1 on the Tree of Life in a Golden Dawn / 777-style scheme.",Aether,deity,,Keter|כתר|כֶּתֶר,,roman_deity_of,Roman Deity,Pantheon chart,,0.85,pantheons,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Wisdom,concept,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,meaning_of,Meaning,Chokmah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",2,number,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,number_of,Number,Chokmah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Grey,color,Golden Dawn Queen Scale color.,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,color_of,Color,Chokmah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Yah,divine_name,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,divine_name_of,Divine Name,Chokmah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Raziel,angel,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,archangel_of,Archangel,Chokmah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Ophanim,angelic_order,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,angelic_choir_of,Angelic Choir,Chokmah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Wheels,translation,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,angelic_choir_translation_of,Angelic Choir Translation,Chokmah Correspondences,,0.9,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Musk,perfume,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,perfume_of,Perfume,Chokmah Correspondences,Listed as scent in the source page.,0.9,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Zodiac,astrological_domain,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,planetary_attribution,Attribution,Chokmah Correspondences,,0.9,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Star Ruby,stone,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,stone_of,Stone,Chokmah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Amaranth,plant,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,plant_of,Plant,Chokmah Correspondences,,0.9,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",The Line,symbol,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,symbol_of,Symbol,Chokmah Correspondences,Geometric symbol in the source page.,0.9,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Kings & Twos,tarot,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,tarot_attribution,Tarot,Tarot placement chart,Minor-arcana / court-card placement chart.,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Uranus,deity,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,greek_deity_of,Greek Deity,Pantheon chart,,0.85,pantheons,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Chokmah,sephirah,"Chokmah, sephirah 2 on the Tree of Life in a Golden Dawn / 777-style scheme.",Coelus,deity,,Chokmah|Chokmah|חכמה|חָכְמָה|Chochmah,,roman_deity_of,Roman Deity,Pantheon chart,,0.85,pantheons,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Binah,sephirah,"Binah, sephirah 3 on the Tree of Life in a Golden Dawn / 777-style scheme.",Understanding,concept,,Binah|בינה,,meaning_of,Meaning,Binah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Binah,sephirah,"Binah, sephirah 3 on the Tree of Life in a Golden Dawn / 777-style scheme.",3,number,,Binah|בינה,,number_of,Number,Binah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Binah,sephirah,"Binah, sephirah 3 on the Tree of Life in a Golden Dawn / 777-style scheme.",Black,color,Golden Dawn Queen Scale color.,Binah|בינה,,color_of,Color,Binah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Binah,sephirah,"Binah, sephirah 3 on the Tree of Life in a Golden Dawn / 777-style scheme.",YHVH Elohim,divine_name,,Binah|בינה,,divine_name_of,Divine Name,Binah Correspondences,,0.95,sephiroth,
golden_dawn_777_starter,Golden Dawn / Crowley 777 Starter,"Starter dataset grounded in Golden Dawn style Tree of Life correspondences, Hermetic Library summaries, and a small number of clearly marked editorial rollups for practical planet lookups.",JWMT Tree,The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,Hermetic Library web text,,"Samuel Scarborough, ""The Tree of Life: Filing Cabinet of the Western Mystery Tradition and Methods to Recall the Information,"" Journal of the Western Mystery Tradition / Hermetic Library.",https://hermetic.com/jwmt/v1n3/treeoflife,,,Binah,sephirah,"Binah, sephirah 3 on the Tree of Life in a Golden Dawn / 777-style scheme.",Tzaphqiel,angel,,Binah|בינה,,archangel_of,Archangel,Binah Correspondences,,0.95,sephiroth,
